from,to,time (ms),mem (kb),order_min,order_max,order_median,size_min,size_max,size_median,density_min,density_max,density_median
0,2,3020,1933524,5,8,6.0,0,0,0.0,0.0,0.0,0.0
2,12,4010,1973984,1,26,4.5,0,1,0.0,0.0,1.0,0.0
12,22,4060,1945568,3,10,7.0,1,2,1.0,0.022222222222222223,0.6666666666666666,0.08095238095238094
22,32,3800,1939424,3,7,5.5,2,3,2.5,0.13333333333333333,1.0,0.2
32,42,4000,1945056,4,10,6.0,3,3,3.0,0.06666666666666667,0.5,0.22142857142857142
42,52,4060,1942752,5,9,6.0,3,4,4.0,0.1111111111111111,0.4,0.2
52,62,3980,1943004,4,9,6.0,4,4,4.0,0.1111111111111111,0.6666666666666666,0.26666666666666666
62,72,4120,1946332,4,10,5.0,4,5,5.0,0.08888888888888889,0.6666666666666666,0.45
72,82,3660,1940444,4,7,6.0,5,5,5.0,0.23809523809523808,0.8333333333333334,0.3333333333333333
82,92,4240,1946584,4,10,6.5,5,6,6.0,0.1111111111111111,1.0,0.30952380952380953
92,102,4280,1941212,5,7,6.5,6,6,6.0,0.2857142857142857,0.6,0.34285714285714286
102,112,4350,1941988,5,8,6.0,6,6,6.0,0.21428571428571427,0.6,0.4
112,122,4400,1943772,5,9,7.0,6,6,6.0,0.16666666666666666,0.6,0.2857142857142857
122,132,4660,1941468,5,7,7.0,6,7,6.0,0.2857142857142857,0.6,0.3333333333333333
132,142,4620,1945052,5,8,7.0,7,7,7.0,0.25,0.7,0.3333333333333333
142,152,4560,1942492,6,8,7.0,7,7,7.0,0.25,0.4666666666666667,0.3333333333333333
152,162,4470,1943004,5,8,7.0,7,7,7.0,0.25,0.7,0.3333333333333333
162,172,4700,1946080,5,8,7.0,7,7,7.0,0.25,0.7,0.3333333333333333
172,182,4530,1946076,6,9,8.0,7,8,7.0,0.19444444444444445,0.4666666666666667,0.25
182,192,4850,1947872,7,10,9.0,8,8,8.0,0.17777777777777778,0.38095238095238093,0.2222222222222222
192,202,5040,1946332,6,9,8.0,8,8,8.0,0.2222222222222222,0.5333333333333333,0.2857142857142857
202,212,4650,1946888,6,9,8.5,8,8,8.0,0.2222222222222222,0.5333333333333333,0.25396825396825395
212,222,4810,1945560,5,9,7.0,8,8,8.0,0.2222222222222222,0.8,0.38095238095238093
222,232,4960,1947104,5,9,7.5,8,8,8.0,0.2222222222222222,0.8,0.3333333333333333
232,242,4860,1950176,6,11,8.0,8,8,8.0,0.14545454545454545,0.5333333333333333,0.2857142857142857
242,252,4990,1949148,6,11,6.0,8,9,9.0,0.16363636363636364,0.6,0.5666666666666667
252,262,4940,1948636,6,9,8.0,9,9,9.0,0.25,0.6,0.32142857142857145
262,272,4140,1948128,6,10,7.0,9,9,9.0,0.2,0.6,0.42857142857142855
272,282,5170,1949152,7,10,9.5,9,9,9.0,0.2,0.42857142857142855,0.225
282,292,5150,1948632,7,10,9.0,9,9,9.0,0.2,0.42857142857142855,0.25
292,302,4830,1948124,5,10,7.5,9,9,9.0,0.2,0.9,0.375
302,312,5300,1949408,7,10,9.5,9,9,9.0,0.2,0.42857142857142855,0.225
312,322,5260,1950948,6,11,8.5,9,10,9.5,0.18181818181818182,0.6666666666666666,0.3035714285714286
322,332,5230,1951964,6,11,9.5,10,10,10.0,0.18181818181818182,0.6666666666666666,0.25
332,342,4910,1951452,6,11,7.0,10,10,10.0,0.18181818181818182,0.6666666666666666,0.47619047619047616
342,352,5360,1950688,7,11,8.0,10,10,10.0,0.18181818181818182,0.47619047619047616,0.35714285714285715
352,362,4970,1949920,6,11,7.0,10,10,10.0,0.18181818181818182,0.6666666666666666,0.47619047619047616
362,372,4840,1949152,6,8,7.0,10,10,10.0,0.35714285714285715,0.6666666666666666,0.47619047619047616
372,382,5370,1952480,7,11,9.0,10,10,10.0,0.18181818181818182,0.47619047619047616,0.2777777777777778
382,392,4240,1950684,5,11,7.0,10,10,10.0,0.18181818181818182,1.0,0.47619047619047616
392,402,5210,1950684,6,11,7.5,10,10,10.0,0.18181818181818182,0.6666666666666666,0.41666666666666663
402,412,5100,1950432,6,10,7.0,10,10,10.0,0.2222222222222222,0.6666666666666666,0.47619047619047616
412,422,5220,1951968,7,11,8.0,10,10,10.0,0.18181818181818182,0.47619047619047616,0.35714285714285715
422,432,5410,1952992,6,12,9.0,10,11,10.5,0.16666666666666666,0.7333333333333333,0.30753968253968256
432,442,5520,1952736,6,12,8.0,11,11,11.0,0.16666666666666666,0.7333333333333333,0.39285714285714285
442,452,5240,1953244,6,12,7.0,11,11,11.0,0.16666666666666666,0.7333333333333333,0.5238095238095238
452,462,5610,1953844,7,12,8.0,11,11,11.0,0.16666666666666666,0.5238095238095238,0.39285714285714285
462,472,5250,1951708,6,12,7.0,11,11,11.0,0.16666666666666666,0.7333333333333333,0.5238095238095238
472,482,5250,1953500,6,12,8.0,11,11,11.0,0.16666666666666666,0.7333333333333333,0.39285714285714285
482,492,5580,1954012,6,12,8.0,11,11,11.0,0.16666666666666666,0.7333333333333333,0.39285714285714285
492,502,5500,1953756,6,12,7.0,11,11,11.0,0.16666666666666666,0.7333333333333333,0.5238095238095238
